text,likes,replies
"There's a lot of land outside Gaza. Egypt could allow camps to be built there, with fences, security, and everything people need, provided by the UN and whoever is funding the aid. Then, women and children could voluntarily stay there until the war is over. It would be a kind of prison, but a much safer one than staying inside Gaza. With women and children out of the way, it would be much easier for the IDF to finish the war without all this backlash. But yeah, I realize this is utopia and would never happen because of politics.",0,0
I think Fox needs a bigger desk.,1,0
"Europeons have NEVER given Americans proper credit for anything, not even WW1 and WW2 support.",14,0
UN Unorganised Numptys,0,0
"Diddlin donnie really ended israel genociding palestine, huh???",3,0
"Who ELSE IS GOING TO SABOTAGE THIS, ???.",0,0
i dont care anything about gaza,2,1
"4 sites for 2 million people. That's 500,000 people per site. Is that right?",0,0
Dismantle UN and unwra. Turkey is un .. that tells you exactly what you need know,0,0
Another day in paradise.,0,0
"""No Leaflets were Harmed in the Making of this Video""",0,0
JOHNNY MOORE you are sick.,0,0
UN in favor of hamas not Israel,0,0
Anytime another country get American tax dollars it gets sent right to the leader of that country then eventually the leader dips out,0,0
No proof? See what Gazans says! How do you think Hamas is surviving!?,0,0
"Come on reporters you need to vet Johnny More Just like Bonnie Tyler sings in her song “Holding Out for a Hero” lyrics, “where have all the good men gone?” We need heroes!!! men and women reporters to rise up and tell the truth so the world will know! isn’t that what happened in 1930s Germany while the world looked the other way? I thought we’ve gotten better than that.",0,0
Defund UN.,0,0
TOTALLY AGREE FULL HEARTEDLY,0,0
Reframe after reframe after reframe. The snake movement is ridiculous.,0,0
Why cant we feed out own people. Especially our veterans,0,0
“Don’t listen to the whistle blower”,0,0
"What are these spaz’s protesting about? And for the love of god ,teach them how to play the drum!",0,0
"We have seen all the videos of hamas stealing the food, we have seen them selling it as well.",0,0
"God sees your heart and knows the truth, Mr “Christian” Johnny Moore. We shall see…..",0,0
"ARE YOU KIDDING ME ?? If they can't fix the problem, someone has to !! Trump is getting it done !!%",0,0
This guy sure likes to praise Trump a lot.,0,0
Guys anything humans can do for money they will that’s our downfall,0,0
"The whistleblower(Tony)is a West Point grad, 24 year of service, 6 Combat tours, a retire LT. Col in the Special forces. With a bronze star and ARCOM both for Valor “ V device” I’ll take his word of this untruthful person. They/this guest or his company never talked to/with the White House. Entity and/or persons paying GHF/ the client is the IDF. — Let that sink in in… Tony was not fired, he has the recipient(paperwork) proving he resigned…. See Tucker Carson and Breakpoint interview. This guy is a liar, and Shannon, you did poor job, in not asking solid questions or any real pushback with information publicly available .. But you only have like 5 mins..",1,1
What the hell is with the alarms.,0,0
Did they get Gaza Ferris wheel running ?,0,0
Why these weak hungry people walk long distance pick up heavy bags food and walk back far away Can trucks go where they are staying?,0,0
So maybe they should give what's left of the hostages back? Hamas is doing this to you and these very same people celebrated them on Oct 7th?,0,0
Always someone else at fault? Children are starving as America is a Christian country I am sure the vast majority of people with compassion in their hearts would want to ensure the children are fed. Sometimes defending the indefensible becomes more and more obviously wrong.,0,0
Seemed pretty credible to me,0,0
no accountability,0,0
"Wow fox news speaking about Gaza , Zionists out of money or something",2,1
"Forgotten message ~ There's only one Son of God, mankind - Unified - that's YOU!",0,0
Once the ammunitions are depleted it’s hand to hand combat.,0,0
"The IDF are in a real stitch with this one, have always been, because Hamas are Gazans, and Gazans are Hamas. Hard to differentiate either.",0,2
There will be multiple opportunities for failure. What is needed is to focus on mechanisms which can actually reduce failure.,0,0
"How about 'Gazoids"" help themselves? They got themselves into this mess, being too to stand up to Hamas.",0,0
too bad he forgot to take pictures and show proof.,0,0
YT wont allow me to hit the like button btw,1,0
May Lord save the Gaza people,1,0
This guy is a liar. He should be in prison.,0,0
"Yep, totally the UN's fault that Israel has a strangle hold on all shipments, aid or otherwise, in and out of Gaza and is using Palestinians as target practice at what available aid stations there are. The nerve.",1,1
What is the United Nations purpose? Cocktail parties?,0,0
"So this is his reasoning; We have sources that say you closed aid corridor’s and starving people, “It’s Hamas lies, don’t believe them” We have an insider telling us that he saw with his own eyes “Don’t believe him, believe us, we found out who it was and fired them” The UN says you don’t feed people, “The UN don’t know what they are talking about.” Answers for all questions",0,0
"what the UN is doing is wrong ... but what is the noise i hear in the background ... sounds like a lot of sirens going off, or they are in a popular carnival",0,0
Because the Bible said the world would hate Israel and all their allies would abandon them and we are getting to those days. Read your Bible !!!,0,0
Why is Fox not talking about Trump covering up the Epstein files????,2,1
I am right arent I? What good is the UN to you going forward?,0,0
The same group once targeted for extermination in 1945 now subjects Gazans — a people unconnected to their historical persecution — to extermination,0,3
It's about time that causes stance on their own two feet and start pushing back instead of waiting for the world,0,0
Let them eat cake...,0,0
"What's up with the alarm sounds in the back ground, then him mentioning alarming seems like subliminal messaging.",0,0
"BTW, any typo that anyone reads acroos, they're intentional to show. I am Human.",0,0
"It's pretty obvious, Isreal runs the show!",0,0
Don’t really trust this guy People in pictures look like their starving,0,0
Not weapons ammunition.,0,0
"It sounds like he said, she said kind of thing. One possible way to get this done is send the UN in with these food aid with a camera crew to show what is going on. For every shipment in has a UN troops the support where it is going too.",0,0
Stop with all those non sense explanations...hamas is the problem,0,0
See the people holding up empty pot for the camera? Photo op....,0,0
What is the noise in the background?,0,0
What are all those sirens in the background?,0,0
I think it's about time the people of gaza get a job and stop scrounging,1,2
Income = reap what you sow,0,0
"If Hamas respected humanitarian zones, there would be no starvation at all.",2,0
I suppose I could search which senator….but I shouldn’t have to. Did I miss the name?,0,0
Has this guy gotten rich from donations of good people? The whistleblower was telling the truth. This is great PR and a way to clear up the rumors. This is capitalism taking advantage of a sad situation.,1,3
Who is truly in charge of the U.S.A? Israel? U.S.A?,1,1
The message is good... The spokesperson is very bad.. cuts off every sentence before he finishes.. not a good spokesperson.. got to get a clearer more articulate spokesperson..,0,0
WHAT....is the sirens in the background...omgawd,0,0
They killed paul walker the actor because he was about to expose this years ago,0,0
Tell Pies Morgan,0,0
This just in: news being reported by persons identified as us !,0,0
Why does media lie?,0,1
Executive go check for yourself. It's all about the Palestinians,0,0
"No buddy dancing in the streets today like Oct 7TH,",0,0
I wish the host shows the video of that veteran reporting from Gaza but she chose to lie that someone told her? That video is available all over internet. I thought Fox is not like CNN.,0,0
I feel like this is i24news,0,0
"UN? LOOOOL, you mean Israel.",0,0
"Gee whiz, I wonder why they would do that?",0,0
Shocking not,0,0
Shannon is always loaded with negative fake news.,0,0
"Unacceptable, total unacceptable! Now as for Epstein, RELEASE ALLLL THE EPSTEIN FILES NOW!!!",2,0
time to leave the u.n.,0,0
Shame on you stop genocide,2,1
What's the name of the Senator,0,0
The love of Jesus can end the wars and heal the Nations As the forces of evil weigh down the hearts and suffering is found in all parts of the world remember the words of Jesus “ I give you a peace the world can not give you” G-d willing we raise our spirit to him and pray for the suffering of those starving in Gaza are given good food and shelter . That hostages are released from captivity and the people of Israel find the courage to end the war and accept Jesus into their hearts . Once we find peace the world can not give in us but is found in Jesus we can offer peace to them that are also in need . The Messiah is only a prayer away,0,0
Fake news,1,0
APLD STOCK IS SHORT SQUEEZING NOW! AI DATA CENTER STOCK! BUY EVERYTHING YOU CAN AFFORD!! AI IS THE FUTURE!!.......................,0,0
BS,0,0
YOUTUBE DOESNT LIKE THIS WORD------------------DED SPELLED THIS WAY BECAUSE THEY WONT ALLOW IT THE OTHER WAY,0,0
Put me on the books ffs.,0,0
JD,0,0
"l used to be in the camp long time ago. The food usually get divided before it came to refugees. Even thr airplane dropped food . The strongest wants would took all the food and hey! they were not giving anyone bc that how they fight for . They took all that home. They couldn't eat all of those , they sold them and who didn't have money would still staving..Next day. they would watch and followed where the Aid flew over the sky, they took again bc they were man, boys, or strong, ran fast. Hamas,too ! Leaving on the aid for long time Hamas were no longer want to work or start labor work again, they would force the civilians and took the food.!",0,0
"Please ,please, please take fox news off the airways!",1,0
Sounds like mayhem in the background..,0,0
The boomers eat this bull... up.,0,0
Why supporting liars thst promoting evil with people's tax.,0,0
The right wing reporting on their own accusations,2,0
Imagine believing this,1,0
Liars,0,0
"Some people make it happen others stand around and point fingers...... WOW! ... We asked for and got donations now we either let it be stolen or rot...... So upset that trump help make sure it gets to people oh so bad, you taking spot light off them",0,0
The un helps hamas.,0,0
Tsick & tired of official s passing the buck to Htrump or othrrs,0,0
Wow did you all believe for hereafter,0,0
Wow! So much TROLLING !!,0,0
Y TF U HAVE SIRENS PLAYING,0,0
Disgusting propaganda,1,0
Qw don't have to,0,0
We do not need to be helping the Gazans who are part of hamas - innocent civilians yes,0,0
Stop whining.,0,0
Mankind - unified - can be a mighty King. Yet by their own judgements they bind His majesty. Truly embarrasing to tantrum over a moments buzz. Have a wondorful week. LOL,0,0
I don't belive u taking g too much,0,0
Even the military guys have to be in the suck and eat rations and hope they get weapons.,0,0
"Shannon Bream your my dream, girl",0,0
"Чёрт столько ботов, невозможно читать.",0,0
,0,0
Does anyone know why there isn't any people in Vegas? Why is Las Vegas dead?,1,4
The bots are popping,0,0
Are u off,0,0
I totally believe the head of the GHF that was created in Feb 2025 and is backed by Israel,0,0
Bad luck....you started this and now crying for help? Lol,0,0
2 state solution Stop displacing these people,0,0
Thank you Princess Shannon Bream,2,0
Who would believe this guy? A whistleblower and former army ranger said it was the GHF that was failing,0,0
🇯🇴 🫡️🇦🇺🇮🇱🇺🇸️️,0,0
"Israel started inflicting malnutrition in Gaza in October 2023, when Israel announced in complete blockade.: ""JANUARY 5, 2024, UNICEF PRESS RELEASE: NEW YORK: ""Children in the Gaza Strip face a deadly triple threat to their lives, as cases of diseases rise, nutrition plummets and the escalation in hostilities approaches its fourteenth week. Thousands of children have already died from the violence, while living conditions for children continue to rapidly deteriorate, with increasing cases of diarrhea and rising food poverty among children, raising the risk of mounting child deaths.",0,0
Fake news,0,0
I DO KNOW ITS A GOOD IDEA TO TURN TO THE MOSTHIGH ALAHIM YAHUAH YAHUSHA RUACH HA QODESH FOR THE WELFARE OF YOUR SOUL I DO KNOW THAT THEY ARE ALL DOING THINGS. THEY ARE NOT GOOD AT ALL. THEY SHOULD ALL STOP.,0,0
Invite palestinians!,0,0
This dude looks like he has child corn on his computer,0,0
"Some people do some things, and they always will.",0,0
