text,likes,replies
It's a Hamas O' Cide.,0,0
Make Gaza Israel Again!,1,0
Gazas life would get better if you let the Israelrelies help make life get better since they were nice enough to take you in when no other country would take you Palestinians,0,0
It’s technically is Israel land already since B.C,1,0
"Your map contains a grave error by depicting the West Bank and the Golan Heights as part of the State of Israel! The West Bank (including East Jerusalem) and the Gaza Strip are Palestinian territories occupied by Israel, just as the Golan Heights (including the Shebaa Farms, disputed with Lebanon) is Syrian territory under Israeli occupation.",0,0
"I guess you should have listened to us ""antisemites"" when we said they were going to do this 2 years ago.",0,0
Sooo gaza is the chosen place to do live weapons testing? If so Pandemic laws court benches are required,0,0
Avery enlightening analysis by Mr. Elon Pinkas! Netanyahu´s pursuit is madness.,0,0
PURE EVIL,0,0
اوقفو الحرب على المدنين,0,0
when they colonize gaza before WE all know what happend,0,0
They are trying to push them south into Egypt. That's what this is about,0,0
It's easy to find anti Netanyahu guest.. When will CNN and BBC bring hamas leaders as guest,0,0
"If you think after committing all kind of atrocities, you can go free, than you are wrong, history will see and remember what comes next, so do whatever you want, wait for the inevitable response",0,0
I wonder if we could get Israel to take over Myanmar or Sudan.,0,0
Nothing wrong with Russia president if he takes control of whole Ukraine. If you hav powerful country u can do whatever you want the world watching and makes verbal statements and threats that’s only going to happen in future.,0,0
Isreal and only Isreal will decide what should happen to Gaza and whole middle East,5,2
Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar,0,0
Do people still watch CNN?,3,0
Power of God will stop it!,0,0
World leaders need a spine,0,0
Dont worry ..the world will step in two weeks to late.,0,0
The remaining are prisoners of war and living witness to netanyahu deal with hamas on October 7 he does not want them alive and stand infront of investgators and talk,0,0
They are Evil,0,0
We called them PALESTINOS in Chile.,0,0
It isn't negotiating technique but actual plan to occupy Gaza. Netanyahu doesn't give a hoot to hostages.,0,1
God bless Israel and I'm not even Jewish,1,0
Gotta clear the land for Chump's new hotel.,0,0
End game ! The world could see this coming for years. The little country had big wish list of land by any means including false flag operations any excuse.,2,0
Is anyone alive in Gaza City?,0,0
,1,0
"""Makes trumps pledges and commitments make look very hollow"" - Has the entire media got some sort of goldfish brain syndrome? When the hell was Trumps pleges and commitments ever worth anything?",0,1
"God bless Palestine, Glory to Palestine in Jesus Mighty Name Amen, Salam Alaikum, wa Alaikum Salaam,",0,0
Bye gaza you were given a chance to self govern but no more you are incapable,1,0
"🇺🇸 “America – The Mirror You Cannot Turn Away From” America 🇺🇸… land of the flag’s proud wave ️, Of brave beginnings and hearts once brave ️. You speak of light ️, of freedom’s call ️, Yet guard the hands that darken all . You send the gold, you send the might , Believing your cause is always right ️. But truth is more than one tale told, It’s the cries of the young and the old . You dream in stripes and stars , red, white, and blue , But the mirror shows the world’s view too . The ocean’s roar will carry the cries , Through winds that cut like ancient sighs ️. No wall so tall, no tower so grand, Can hide injustice from the world’s hand . Like Rome ️ that fell when pride was crowned, Like empires lost when truth was found … 🇪🇬 Egypt will stand — the Final Gate , Where justice speaks and ends the hate ️. She faced the Mongol’s thundering tide ️, And watched the Crusaders fall in their pride ️. From the Nile’s heart her light will shine ️, And guard the world till the end of time .",0,0
How do you know that ? Are you part of the council? You people just make things up for rating's,0,0
