text,likes,replies
We owe Germany an apology,0,0
"Do what President Trump said, turn it into a resort. All the people of Gaza would jobs and security",1,0
Carville found out,0,0
Look at all the liars antisemitic comments on here.. Telling,1,2
[ REDACTED COMMENT ],0,0
"All those fine folks in Gaza can walk to Egypt and live next to the huge monoliths at Giza. Gazians in Giza, perfect.",0,0
Palestinians shouldn’t be crammed into that strip anyway … arabs should succeed/give land to the Palestinians..they have colonized the entire Middle East anyway,0,0
"God bless Palestine, Glory to Palestine in Jesus Mighty Name Amen, Salam Alaikum, wa, Alaikum Salaam",0,0
️🇵🇸️️ FREE FREE PALESTINE,0,0
Israel is behind BIBI - ️🇮🇱️🇮🇱,0,0
One thing for sure trump will help him,1,0
"Take the land and send them away to somewhere else , do you need me to come to Israel and join the idf",0,1
hahhahaha L hamas,0,0
9/11🇮🇱,0,0
